code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
02276;ENGLANCOURT;02260;;ENGLANCOURT;49.926232209,3.807739854
02277;EPAGNY;02290;;EPAGNY;49.471947812,3.253395982
02278;EPARCY;02500;;EPARCY;49.886208669,4.070097284
02284;ERLOY;02260;;ERLOY;49.919837699,3.836839446
02287;ESSIGNY LE GRAND;02690;;ESSIGNY LE GRAND;49.774218427,3.272332146
02289;ESSISES;02570;;ESSISES;48.966481693,3.413173644
02293;ETAVES ET BOCQUIAUX;02110;;ETAVES ET BOCQUIAUX;49.931235728,3.450621759
02298;ETREUX;02510;;ETREUX;49.999883391,3.659113725
02311;FILAIN;02000;;FILAIN;49.453080762,3.557821998
02321;FONTAINE LES VERVINS;02140;;FONTAINE LES VERVINS;49.853646158,3.905140712
02327;FORESTE;02590;;FORESTE;49.805600253,3.095093377
02329;FOURDRAIN;02870;;FOURDRAIN;49.619097805,3.460502301
02333;FRESNES SOUS COUCY;02380;;FRESNES SOUS COUCY;49.554871445,3.369998403
02336;FRIERES FAILLOUEL;02700;;FRIERES FAILLOUEL;49.683662534,3.236250808
02343;GERMAINE;02590;;GERMAINE;49.812186279,3.118500925
02354;GRANDRIEUX;02360;;GRANDRIEUX;49.72966534,4.187363568
02356;GRISOLLES;02210;;GRISOLLES;49.130139148,3.372242756
02360;VILLENEUVE SUR AISNE;02190;GUIGNICOURT;VILLENEUVE SUR AISNE;49.439464546,3.971279151
02360;VILLENEUVE SUR AISNE;02190;MENNEVILLE;VILLENEUVE SUR AISNE;49.439464546,3.971279151
02366;HANNAPES;02510;;HANNAPES;49.977699449,3.613847906
02377;HAUTION;02140;;HAUTION;49.871967532,3.826466676
02385;HOUSSET;02250;;HOUSSET;49.796174252,3.695398772
02386;IRON;02510;;IRON;49.950529536,3.665602676
02387;ITANCOURT;02240;;ITANCOURT;49.804017678,3.349629459
02393;JOUAIGNES;02220;;JOUAIGNES;49.293513481,3.528132179
02396;JUMIGNY;02160;;JUMIGNY;49.409180604,3.724825741
02400;LAFFAUX;02880;;LAFFAUX;49.449299493,3.429628175
02401;LAIGNY;02140;;LAIGNY;49.862974567,3.861098702
02409;LAPPION;02150;;LAPPION;49.589581702,3.964131494
02410;LARGNY SUR AUTOMNE;02600;;LARGNY SUR AUTOMNE;49.261259831,3.054198986
02420;LESDINS;02100;;LESDINS;49.904508544,3.314114943
02424;LEURY;02880;;LEURY;49.427095186,3.341584039
02439;LES SEPTVALLONS;02160;BARBONVAL;LES SEPTVALLONS;49.355509724,3.653403263
02440;LOR;02190;;LOR;49.529744638,4.055562974
02441;LOUATRE;02600;;LOUATRE;49.252713865,3.242009121
02443;LUCY LE BOCAGE;02400;;LUCY LE BOCAGE;49.055156513,3.275952045
02444;LUGNY;02140;;LUGNY;49.78281171,3.812841426
02447;MAAST ET VIOLAINE;02220;;MAAST ET VIOLAINE;49.293920123,3.456919476
02450;MACQUIGNY;02120;;MACQUIGNY;49.873044498,3.570487104
02453;MAIZY;02160;;MAIZY;49.377147017,3.716176184
02455;MALZY;02120;;MALZY;49.92109051,3.730257386
02462;MAREUIL EN DOLE;02130;;MAREUIL EN DOLE;49.24194242,3.561153054
02467;MARIZY ST MARD;02470;;MARIZY ST MARD;49.182338371,3.228445813
02469;MARLY GOMONT;02120;;MARLY GOMONT;49.891556075,3.78446274
02471;MARTIGNY COURPIERRE;02860;;MARTIGNY COURPIERRE;49.490370982,3.686704883
02488;MOLAIN;02110;;MOLAIN;50.032755559,3.532996816
02492;MONCEAU LES LEUPS;02270;;MONCEAU LES LEUPS;49.661496724,3.484865638
02493;MONCEAU LE WAAST;02840;;MONCEAU LE WAAST;49.622081574,3.717251685
02494;MONCEAU SUR OISE;02120;;MONCEAU SUR OISE;49.909754425,3.699332236
02498;MONTAIGU;02820;;MONTAIGU;49.553142816,3.8442636
02500;MONTBREHAIN;02110;;MONTBREHAIN;49.964774581,3.356345656
02504;MONTESCOURT LIZEROLLES;02440;;MONTESCOURT LIZEROLLES;49.735843297,3.261878148
02515;MONTIGNY LES CONDE;02330;;MONTIGNY LES CONDE;48.983232726,3.566517221
02516;MONTIGNY SOUS MARLE;02250;;MONTIGNY SOUS MARLE;49.741394451,3.804042798
02519;MONTLOUE;02340;;MONTLOUE;49.667813906,4.062955359
02524;MONT ST PERE;02400;;MONT ST PERE;49.081931195,3.476999705
02528;MORTEFONTAINE;02600;;MORTEFONTAINE;49.336522127,3.081227765
02536;NAMPTEUIL SOUS MURET;02200;;NAMPTEUIL SOUS MURET;49.305284958,3.433858092
02542;NEUFLIEUX;02300;;NEUFLIEUX;49.617084777,3.159479468
02543;NEUILLY ST FRONT;02470;;NEUILLY ST FRONT;49.162859433,3.264251606
02553;NIZY LE COMTE;02150;;NIZY LE COMTE;49.574436225,4.030266889
02557;NOROY SUR OURCQ;02600;;NOROY SUR OURCQ;49.204123313,3.207797063
02559;NOUVION ET CATILLON;02270;PONT A BUCY;NOUVION ET CATILLON;49.707297768,3.493588723
02567;OHIS;02500;;OHIS;49.918552317,4.011905333
02595;PASSY SUR MARNE;02850;;PASSY SUR MARNE;49.066037275,3.574160645
02598;PERNANT;02200;;PERNANT;49.375849613,3.229862367
02600;PIERREPONT;02350;;PIERREPONT;49.6488629,3.787089234
02602;PINON;02320;;PINON;49.488492973,3.46205697
02615;PONTRUET;02490;;PONTRUET;49.915121794,3.229162765
02622;PRIEZ;02470;;PRIEZ;49.131193229,3.26191362
02623;PRISCES;02140;;PRISCES;49.772101308,3.861968317
02633;QUINCY SOUS LE MONT;02220;;QUINCY SOUS LE MONT;49.308331351,3.559723652
02637;REMAUCOURT;02100;;REMAUCOURT;49.895114722,3.349584375
02640;RENANSART;02240;;RENANSART;49.734114565,3.453680924
02643;RESSONS LE LONG;02290;;RESSONS LE LONG;49.388331614,3.140747768
02652;ROGNY;02140;;ROGNY;49.76697851,3.82015472
02667;SACONIN ET BREUIL;02200;;SACONIN ET BREUIL;49.351070288,3.247371045
02674;ST CLEMENT;02360;;ST CLEMENT;49.774812643,4.07292038
02676;ST ERME OUTRE ET RAMECOURT;02820;;ST ERME OUTRE ET RAMECOURT;49.518312141,3.863986181
02681;ST GOBERT;02140;;ST GOBERT;49.804025312,3.832449068
02691;ST QUENTIN;02100;;ST QUENTIN;49.847384589,3.277735921
02696;ST THOMAS;02820;;ST THOMAS;49.501520514,3.81859004
02698;SANCY LES CHEMINOTS;02880;;SANCY LES CHEMINOTS;49.439194963,3.476423148
02701;SAULCHERY;02310;;SAULCHERY;48.97681326,3.31273783
02704;SELENS;02300;;SELENS;49.493936119,3.206061239
02705;LA SELVE;02150;;LA SELVE;49.570202251,3.995044476
02712;SERGY;02130;;SERGY;49.182771129,3.571378936
02720;SISSONNE;02150;;SISSONNE;49.564146816,3.920361086
02725;SOMMERON;02260;;SOMMERON;49.957388062,3.945277962
02727;SONS ET RONCHERES;02270;;SONS ET RONCHERES;49.769212028,3.667405398
02732;SURFONTAINE;02240;;SURFONTAINE;49.747061779,3.48058898
02742;THIERNU;02250;;THIERNU;49.765594383,3.779113702
02745;TOULIS ET ATTENCOURT;02250;;TOULIS ET ATTENCOURT;49.697460601,3.749924602
02751;TRUCY;02860;;TRUCY;49.471590029,3.611028551
02753;TUPIGNY;02120;;TUPIGNY;49.97048717,3.593692603
02756;URVILLERS;02690;;URVILLERS;49.78974175,3.316689619
02757;VADENCOURT;02120;;VADENCOURT;49.922961175,3.574497712
02762;VASSENS;02290;;VASSENS;49.475312,3.156361551
02763;VASSENY;02220;;VASSENY;49.355266125,3.488995024
02768;VAUXAILLON;02320;;VAUXAILLON;49.477156237,3.408240946
02770;VAUXBUIN;02200;;VAUXBUIN;49.357490287,3.29455624
02773;VAUXTIN;02220;;VAUXTIN;49.345429445,3.601436546
02774;VENDELLES;02490;;VENDELLES;49.907648285,3.138190576
02802;LA VILLE AUX BOIS LES DIZY;02340;;LA VILLE AUX BOIS LES DIZY;49.662462116,3.981701279
02809;VILLERS AGRON AIGUIZY;02130;;VILLERS AGRON AIGUIZY;49.163077859,3.716339895
02812;VILLERS HELON;02600;;VILLERS HELON;49.264938234,3.267815858
02821;VIVAISE;02870;;VIVAISE;49.623010352,3.56389041
02822;VIVIERES;02600;;VIVIERES;49.305652478,3.092076104
02827;VOYENNE;02250;;VOYENNE;49.71614918,3.738450258
02832;WIEGE FATY;02120;;WIEGE FATY;49.883202459,3.713383147
03004;ANDELAROCHE;03120;;ANDELAROCHE;46.250451343,3.745468978
03009;AUBIGNY;03460;;AUBIGNY;46.673263785,3.161980354
03010;AUDES;03190;;AUDES;46.461030035,2.559263936
03025;BESSAY SUR ALLIER;03340;;BESSAY SUR ALLIER;46.450979711,3.367288107
03036;BOURBON L ARCHAMBAULT;03160;;BOURBON L ARCHAMBAULT;46.583673012,3.051887032
03037;BRAIZE;03360;;BRAIZE;46.658534328,2.654038373
03042;LE BREUIL;03120;;LE BREUIL;46.176564412,3.668403554
03048;CERILLY;03350;;CERILLY;46.626484448,2.808997489
03050;LA CHABANNE;03250;;LA CHABANNE;46.024708955,3.752252425
03053;CHANTELLE;03140;;CHANTELLE;46.236036911,3.15949516
03058;CHAPPES;03390;;CHAPPES;46.382843064,2.944160519
03060;CHARMEIL;03110;;CHARMEIL;46.160385868,3.393089826
03064;CHATEAU SUR ALLIER;03320;;CHATEAU SUR ALLIER;46.781670363,2.987525088
03067;CHATELPERRON;03220;;CHATELPERRON;46.397163609,3.63314167
03074;CHEVAGNES;03230;;CHEVAGNES;46.608268123,3.564621011
03075;CHEZELLE;03140;;CHEZELLE;46.213042527,3.111706795
03076;CHEZY;03230;;CHEZY;46.612253913,3.459026556
03083;CONTIGNY;03500;;CONTIGNY;46.346377008,3.31447729
03096;DENEUILLE LES CHANTELLE;03140;;DENEUILLE LES CHANTELLE;46.253055185,3.146088128
03103;LE DONJON;03130;;LE DONJON;46.344905624,3.799562179
03109;ESCUROLLES;03110;;ESCUROLLES;46.142049361,3.268161344
03113;FERRIERES SUR SICHON;03250;;FERRIERES SUR SICHON;46.020329299,3.648264259
03118;GANNAT;03800;;GANNAT;46.098528458,3.177638829
03120;GARNAT SUR ENGIEVRE;03230;;GARNAT SUR ENGIEVRE;46.634798354,3.668232225
03127;HERISSON;03190;;HERISSON;46.519794305,2.710394441
03129;HYDS;03600;;HYDS;46.273041418,2.827700546
03138;LAPALISSE;03120;;LAPALISSE;46.264664821,3.638526095
03141;LAVOINE;03250;;LAVOINE;45.974771464,3.687655895
03156;LUSIGNY;03230;;LUSIGNY;46.571610583,3.490303782
03158;HAUT BOCAGE;03190;LOUROUX HODEMENT;HAUT BOCAGE;46.470841019,2.6813991
03158;HAUT BOCAGE;03190;MAILLET;HAUT BOCAGE;46.470841019,2.6813991
03163;MARIOL;03270;;MARIOL;46.025660441,3.486252591
03164;LE MAYET D ECOLE;03800;;LE MAYET D ECOLE;46.164706123,3.240434141
03165;LE MAYET DE MONTAGNE;03250;;LE MAYET DE MONTAGNE;46.060191188,3.655518728
03166;MAZERIER;03800;;MAZERIER;46.132389995,3.181663781
03174;MOLLES;03300;;MOLLES;46.115285061,3.556278469
03184;MONTILLY;03000;;MONTILLY;46.610463028,3.239509761
03185;MONTLUCON;03100;;MONTLUCON;46.339028478,2.603705358
03186;MONTMARAULT;03390;;MONTMARAULT;46.320473034,2.952268861
03189;MONTVICQ;03170;;MONTVICQ;46.316039155,2.822081399
03194;NAVES;03330;;NAVES;46.17601686,3.116104515
03211;PREMILHAT;03410;;PREMILHAT;46.310177714,2.546929122
03218;ST AUBIN LE MONIAL;03160;;ST AUBIN LE MONIAL;46.535610274,3.00099742
03219;ST BONNET DE FOUR;03390;;ST BONNET DE FOUR;46.315050675,2.904711771
03224;ST CLEMENT;03250;;ST CLEMENT;46.057937126,3.721718679
03229;ST ENNEMOND;03400;;ST ENNEMOND;46.680994824,3.404400086
03230;ST ETIENNE DE VICQ;03300;;ST ETIENNE DE VICQ;46.172970982,3.536469886
03231;ST FARGEOL;03420;;ST FARGEOL;46.134354927,2.630866965
03234;ST GERAND DE VAUX;03340;;ST GERAND DE VAUX;46.384068413,3.407137028
03256;ST PRIEST EN MURAT;03390;;ST PRIEST EN MURAT;46.355833552,2.902376136
03257;ST PRIX;03120;;ST PRIX;46.225609207,3.649183162
